"address","descriptive_name","confidence","disc1_present","disc2_present","instructions","static_call_sites","direct_callees","has_return","disc1_overlay_referenced","disc2_overlay_referenced","embedded_asset_range","disc1_seed_evidence","disc2_seed_evidence","disc1_exact_sha256","disc2_exact_sha256","structural_sha256","sf3_address","sf3_match_kind"
"0x8004c394",,,"1","1","27","4","0","0","0","0","0","direct_call","direct_call","4432ddecf4d9314dcbd2cb0b813684d1199999c313c2f73a3ecba95ced4bc499","4432ddecf4d9314dcbd2cb0b813684d1199999c313c2f73a3ecba95ced4bc499","5f0f3cc1b193c11e46085605feecc04f74e859708fe96ae2c250daccf159dbcb",,
"0x8004c400",,,"1","1","256","1","6","0","0","0","0","direct_call","direct_call","da5399f159d70ba188f6164c8d093cfecfa838c27e59cd1d83144e1c7911fb58","da5399f159d70ba188f6164c8d093cfecfa838c27e59cd1d83144e1c7911fb58","b701dfafc7e95ee01f2126d61542789eb4de574e11d02c3f9894355d32774908",,
"0x8004c800",,,"1","1","25","1","0","1","0","0","0","direct_call","direct_call","a33170f933da016def2bdc670ee7c9020f0e3b5f59e921c842d24f491d2956af","a33170f933da016def2bdc670ee7c9020f0e3b5f59e921c842d24f491d2956af","af186e1adee3451e39eaf657ec35898615b1895ca0a1b71892d93f90b946378b",,
"0x8004c864",,,"1","1","308","3","4","1","0","0","0","direct_call","direct_call","7a3886ea08a39d800764904173d2199ec7b117da64d61e26fcaa3cb37208a9e2","7a3886ea08a39d800764904173d2199ec7b117da64d61e26fcaa3cb37208a9e2","a433486578f11684f4782ddc1a6802d38284f77fc7086ad59dca09ccfd819d8e",,
"0x8004cd34",,,"1","1","108","15","2","1","1","1","0","direct_call+overlay","direct_call+overlay","eabef3c58fd63e7aa4aed83cfd9fbc249a4594945242f072b343b37f2b24b01f","eabef3c58fd63e7aa4aed83cfd9fbc249a4594945242f072b343b37f2b24b01f","6d5308bae8b5f278e3d9d9d3159897e149e7d3dcc72a2b8c8d1d94f1ea29eb50","0x8004E24C","structural"
"0x8004cee4",,,"1","1","17","1","1","1","0","0","0","direct_call","direct_call","a8a6fbe098c1de360a20f0aee5ef393c8de68d82f92836ae849579e612009f76","a8a6fbe098c1de360a20f0aee5ef393c8de68d82f92836ae849579e612009f76","b6b51f66d23f6dc433913b7f7472afaab49c32837535964e852c3c70a15ac9c7","0x8004E3FC","structural"
"0x8004cf28",,,"1","1","25","0","1","1","0","0","0","prologue_only","prologue_only","ec203e8b60a5b7dd080a979fd698191f79d7aa0d3af62066ed9be71802824eaa","ec203e8b60a5b7dd080a979fd698191f79d7aa0d3af62066ed9be71802824eaa","31d703b29d70603dbeffcc2cb5c9db2be80f8ebeba02c3f93003a85775da87d9","0x8004E440","structural"
"0x8004cf8c",,,"1","1","160","0","6","1","0","0","0","prologue_only","prologue_only","f0131bed45a51ecf219f28e3ecbe8498de7a1830ca1fe84ed986e70e80367f6c","f0131bed45a51ecf219f28e3ecbe8498de7a1830ca1fe84ed986e70e80367f6c","0372c5fa16f1974d79243886340f689eda5614cab5999094c06bb08b0e9e7ff6","0x8004E4A4","structural"
"0x8004d20c",,,"1","1","26","0","2","1","0","0","0","prologue_only","prologue_only","3dd64b2777f16a325a79b1faa6d3f0be1faa23d0f8149be6899540932e4a45fa","3dd64b2777f16a325a79b1faa6d3f0be1faa23d0f8149be6899540932e4a45fa","b6eb367188d66dc2248a455bcb5fe3d65bc93d8a0e261b3c3bb7821afb8d715d","0x8004E724","structural"
"0x8004d274",,,"1","1","286","0","3","1","0","0","0","prologue_only","prologue_only","2612dc01d13a775202b5177b7b068d23871feab6bc59fdb666b514ed2e9210da","2612dc01d13a775202b5177b7b068d23871feab6bc59fdb666b514ed2e9210da","a495b445ef1a6492e5cdedf7a52c4b0be2f11c8347ebf7405d91685f11111ce6","0x8004E78C","structural"
"0x8004d6ec",,,"1","1","99","0","1","1","0","0","0","prologue_only","prologue_only","dae1aca6baa769e9a4fa3fbcefca0572fd41cd909feae2935f25dcafec2314d4","dae1aca6baa769e9a4fa3fbcefca0572fd41cd909feae2935f25dcafec2314d4","a113bf2f970f28f8db1997cbb9216b018eaa556ab0383903d271e1f518a96258","0x8004EC04","structural"
"0x8004d878",,,"1","1","346","6","8","1","0","0","0","direct_call","direct_call","0b3b6077e5e0e2798a4fe7cfaef38da0a49c0c1f4610e1fb6eab5a2530d1868a","0b3b6077e5e0e2798a4fe7cfaef38da0a49c0c1f4610e1fb6eab5a2530d1868a","ada62dd42bfffab82af1f8653f57da80047083d38ed024f85ed9410d87c4637d","0x8004ED90","structural"
"0x8004dde0",,,"1","1","702","2","10","1","0","0","0","direct_call","direct_call","2d7ee32243804dd85142fa1296e691c3b421a423db23cadc571acb06dd3bceec","2d7ee32243804dd85142fa1296e691c3b421a423db23cadc571acb06dd3bceec","ed3df210d1654688c452a4b9bfdeef1e0b53ecdc9642fed89f419f8f6ac1bc5e",,
"0x8004e8d8",,,"1","1","233","1","2","1","0","0","0","direct_call","direct_call","0cd771b2cb1070ba8ccb3b482e2713d282df47ba85242e7c06e739e052eaeac5","0cd771b2cb1070ba8ccb3b482e2713d282df47ba85242e7c06e739e052eaeac5","3a4fb80ea7bc050d560e93a0e2015a679ac98867432747a1190704b5b07a2e1c","0x8004FE38","structural"
